x,y,height,bank_angle
279.563573,-503.989243,19.465769,-0.233582
283.716690,-499.818177,19.497643,-0.226437
287.863349,-495.642049,19.465492,-0.220416
291.888300,-491.351894,19.374642,-0.213147
295.811616,-486.965800,19.266017,-0.205862
299.725698,-482.569827,19.197226,-0.198595
303.680845,-478.211259,19.195661,-0.191379
307.623809,-473.842086,19.214900,-0.184239
311.498906,-469.412137,19.207378,-0.177190
315.306156,-464.922944,19.167236,-0.170246
319.060427,-460.389794,19.099692,-0.163423
322.774763,-455.825404,19.015504,-0.157847
326.457806,-451.236350,18.938689,-0.151303
330.117685,-446.628420,18.893596,-0.144939
333.764362,-442.009342,18.878037,-0.138776
337.409316,-437.388430,18.868032,-0.132843
341.061737,-432.773180,18.842786,-0.126246
346.503384,-425.878480,18.781044,-0.119180
350.138549,-421.249726,18.747252,-0.114240
353.758966,-416.609370,18.716507,-0.110375
357.367447,-411.959545,18.683953,-0.106052
360.972543,-407.306980,18.648960,-0.102074
364.593363,-402.666843,18.618606,-0.098434
368.248476,-398.053883,18.600188,-0.095118
371.928920,-393.461023,18.591056,-0.092109
375.606708,-388.866097,18.581656,-0.089390
379.278041,-384.266069,18.570939,-0.086951
382.949447,-379.666069,18.561490,-0.085129
386.626603,-375.070555,18.555548,-0.083197
390.300796,-370.472636,18.549522,-0.081547
393.951675,-365.856243,18.535103,-0.080178
397.572262,-361.215864,18.509431,-0.079085
401.185740,-356.569788,18.481932,-0.078250
404.818780,-351.939064,18.463473,-0.077650
408.476106,-347.327433,18.456885,-0.077254
412.133018,-342.715425,18.454206,-0.077028
415.777130,-338.093311,18.449506,-0.076948
419.426696,-333.475569,18.442867,-0.076952
423.102683,-328.878814,18.435218,-0.077040
426.792263,-324.292868,18.429363,-0.077183
430.446492,-319.678929,18.429325,-0.077356
434.104510,-315.068203,18.419716,-0.077536
437.826783,-310.508912,18.382501,-0.077701
441.503191,-305.913869,18.342990,-0.077834
445.106862,-301.261569,18.316686,-0.077926
448.700784,-296.601525,18.305029,-0.077972
452.348326,-291.983556,18.308939,-0.077998
456.062189,-287.417595,18.324769,-0.078014
459.799824,-282.870081,18.343895,-0.078047
463.518524,-278.307345,18.357647,-0.078145
468.992055,-271.437802,18.345941,-0.078373
472.652778,-266.829453,18.317315,-0.078630
476.317912,-262.224550,18.296294,-0.078941
479.995338,-257.629135,18.296143,-0.079220
483.680216,-253.039484,18.301361,-0.079550
487.365735,-248.450341,18.295554,-0.079848
491.044397,-243.855812,18.281233,-0.080097
494.708471,-239.249783,18.267646,-0.080289
498.350272,-234.626176,18.264033,-0.080427
501.971557,-229.986417,18.275766,-0.080517
505.595175,-225.348675,18.299586,-0.080571
509.246835,-220.733392,18.331063,-0.080600
512.943988,-216.154406,18.365182,-0.080617
516.665681,-211.594817,18.394219,-0.080643
520.380606,-207.029467,18.410540,-0.080693
524.068627,-202.442462,18.418699,-0.080790
527.717964,-197.824824,18.431979,-0.080961
