x,y,height,bank_angle
261.155749,184.354633,22.410241,-0.214309
255.552030,182.140647,22.407099,-0.210495
249.969065,179.874292,22.374262,-0.206710
244.399546,177.575307,22.312587,-0.202990
238.836193,175.263291,22.223307,-0.199362
233.273788,172.950821,22.116429,-0.195852
227.709764,170.641865,22.016511,-0.192484
222.140969,168.342005,21.943725,-0.189272
216.569634,166.045787,21.909116,-0.186222
211.003500,163.736695,21.911917,-0.183332
205.450287,161.398300,21.950126,-0.180596
199.911690,159.026814,22.009192,-0.178000
194.383912,156.629963,22.063142,-0.175526
188.863045,154.215811,22.086595,-0.173152
183.346395,151.790922,22.071530,-0.170864
177.832277,149.360643,22.024525,-0.168659
172.319075,146.930230,21.952543,-0.166552
166.809432,144.494321,21.863224,-0.164585
161.312349,142.031909,21.764161,-0.162826
155.835851,139.523862,21.666084,-0.161356
150.389141,136.949080,21.576615,-0.160237
144.978132,134.297772,21.504793,-0.159490
139.606995,131.566570,21.459857,-0.159094
134.276538,128.757704,21.448109,-0.159003
128.972575,125.897892,21.462401,-0.159163
123.676609,123.020960,21.491959,-0.159529
118.383877,120.137276,21.519848,-0.160076
113.121822,117.201920,21.512679,-0.160795
107.921519,114.163824,21.435869,-0.161681
102.798248,110.998473,21.287443,-0.162715
97.737651,107.731089,21.126114,-0.163862
92.723328,104.390398,21.015386,-0.165074
87.739399,101.004342,21.014991,-0.166297
82.781989,97.580994,21.110043,-0.167479
77.859020,94.109066,21.217502,-0.168577
72.978246,90.577565,21.258178,-0.169724
68.142525,86.983332,21.225288,-0.170596
63.351903,83.327811,21.159117,-0.171374
58.606313,79.612687,21.100940,-0.172059
53.905778,75.839699,21.088508,-0.172648
49.256606,72.003828,21.115935,-0.173146
44.667647,68.097647,21.148719,-0.173575
40.147825,64.113674,21.151811,-0.173992
35.702039,60.048580,21.098839,-0.174483
31.317114,55.916969,21.015189,-0.175124
26.970184,51.743404,20.946898,-0.175928
22.651973,47.538983,20.920431,-0.176810
18.381355,43.287088,20.920244,-0.176810
14.179771,38.968527,20.925669,-0.176810
10.068896,34.563861,20.917517,-0.176810
6.042314,30.080564,20.900168,-0.176810
2.081306,25.537886,20.889502,-0.176810
-1.832976,20.955163,20.901495,-0.176810
